comment_text,clean_text,like_count,reply_count,emojis
"H?yatda hec vaxt, m?yus olmay?n,  itirdim fikirl???nde, b?lk?d? xilas olduqlar?n?zd?.","H?yatda heç vaxt m?yus olmay?n. “?tirdim” dey? fikirl???nd?, b?lk? d? xilas olduqlar?n?zd?r.",4200,55,
2026 dinl?y?n tayfa?,2026-da dinl?y?n tayfa ?,30,2,?
"Elza Seyidcahan another love'u yaza bil?rdi, amma tom odell son vidan? heç vaxt","Elza Seyidcahan “Another Love”u yaza bil?rdi, amma Tom Odell “son vida”n? heç vaxt.",2600,20,
"""Ba?? var, amma oxumur"" buna deyirl?r","“Ba?? var, amma oxumur” buna deyirl?r.",4600,43,
"Bugun atami itirdiyim gunden 2 il otur, men her gun bu mahniya qulaq asiram ve atamin menden xercengin almasini hezm ede bilmirem hele de. Dunyanin en uzun gecesi atami itirdiyim gun idi,  hec vidalasa da bilmedik…","Bu gün atam? itirdiyim günd?n 2 il ötür. M?n h?r gün bu mahn?ya qulaq as?ram v? atam?n m?nd?n x?rç?ngin almasini h?l? d? h?zm ed? bilmir?m. Dünyan?n ?n uzun gec?si atam? itirdiyim gün idi, heç vidala?a da bilm?dik…",8,1,
"Elzan?n ?eirl?rini 1 saatd? izl?yib  gülürdüm. Bu ifa ç?xd? qar??ma,??aglad?m.. Ay Elza…","Elzan?n ?eirl?rini 1 saatd?r izl?yib gülürdüm. Bu ifa ç?xd? qar??ma, ?? a?lad?m… Ay Elza…",1100,6,??
"Elzan?n bu ?s?rini k??f etmisinizs? art?q böyümüsünüz dem?kdir))
Böyümüsünüz v? h?l? H?yat? indi D?rk Etmisiniz…","“Elzan?n bu ?s?rini k??f etmisinizs?, art?q böyümüsünüz dem?kdir. Böyümüsünüz v? h?yat? indi d?rk etmisiniz.”",42,0,
Elza xanim tek ele bu mahnisi min muqenninin omur boyu oxuduqularindan boyukdur.???,Elza xan?m t?kc? bu mahn?s? il? min mü??nninin ömür boyu oxuduqlar?ndan daha böyükdür ???,1100,5,???
"?n pisid?, o görü?ün, son görü?, son vida oldu?unu bilm?m?kdir... ??","?n pisi d? odur ki, o görü?ün son görü?, son vida oldu?unu bilm?m?kdir… ??",847,9,??
H?r k?si güldür?n Elza bu d?f? a?latd?,H?r k?si güldür?n Elza bu d?f? a?latd?.,305,0,
