id,sentence
1,Gəlməyiniz yaxşı oldu.
2,"Ümid edirəm, Mirzə Cəlala dərslərinə diqqət yetirməsi üçün məsləhət verərsiniz."
3,"Bağışlayın, İskəndər bəy, uşaqlara belə sözlər deməyin düzgün deyil."
4,"Dərs oxumamışdan əvvəl düşünürdüm ki, dünyada bir şey bilirəm, amma oxuduqca başa düşdüm ki, heç nə bilmirəm."
5,Mən də sənin yanından ayrılmayacağam.
6,"Gəl, əlindən tutum, bu vilayəti tərk edib gedək."
7,Vaxt yaxşıdır.
8,Niyə hələ də durursan?
9,"Qaşın, çənən və dodağın sağlamdır."
10,Saçında və yanağında heç bir qüsur yoxdur.
11,"Elə bil, dirilib, qəbirdən çıxıb qapıya gəlib?"
12,"Bir qrup kişi müsəlmanları tənqid edir ki, uşaqları dərs oxumur."
13,"Başladıqda bilirdim ki, sonunda belə olacaq."
14,"Şükür Allaha, yardımçı var."
15,"İncinar olsun, həkim olsun, təmizləyici olsun."
16,Divanxanalarda heç kim mirzəni qəbul etmir.
17,Allah evini dağıtsın.
18,"Amma Allahım, sənin qüdrətini tərifləməyə söz tapmıram."
19,"Ana, incimə, oğlun Kərbəlai Fətulah sağ-salamat qayıdıb."
20,Bir neçə gün sonra sənə Xorasandan qırmızı başmaq gətiriləcək.
21,"O kəslərə lənət olsun ki, Allahın hikmətinə şübhə gətirirlər!"
22,Mən və mənimlə birlikdə 114 nəfər qəbirdən dua etdik.
23,"İndi qısa şəkildə deyə bilərəm ki, Məşhədi-müqəddəsdə bir abid peyda olub, adı Şeyx Nəsrullahdır."
24,Şeyx cənabları bir neçə il İsfahanda elmi-təhsil aldıqdan sonra Xorasana gəliblər.
25,Burada bir neçə ay riyazət və elm çalışmasından sonra elmin tətbiqini öyrəniblər.
26,"Axırda məqsəd belə olub ki, Allahın mərhəməti ilə ruhları xilas etsin."
27,"Macəranın təfsilini gələcəkdə özüm danışacağam, eşidəndə təəccüblənəcəksiniz."
28,"Cəmadiyəl-axirin 18-ci günü, ayın qürub saatında, Şeyx cənabları Məşhədi-müqəddəsdə qəbirləri ziyarət edib."
29,"Təsxirül-əvmat mərasimini etdikdən sonra əvvəl dua oxudu, sonra uca səslə danışdı."
30,"Başımın üstündə bir şəxs durdu, uca boylu, 40 yaşında, abid və saleh, gözləri qara, üzü xeyirxah, adı Şeyx Nəsrullah İsfəhani."
31,Şeyx Nəsrullah rəcəb ayının qürrəsində Məşhədi-müqəddəsdən çıxacaq.
32,"Şeyx cənabları bir gün bizim şəhərdə qalıb, qəbir ziyarətinə qatıldılar, sonra yola çıxdılar."
33,Ayın 7-si və ya 8-i şeyx cənablarının pişvazına çıxıb ehtiram göstərsinlər.
34,Ağanın fəzilət və mərhəmətindən mənim həmşəhərlilərim faydalansınlar.
35,Hər iki əlini qaldırıb ağlayır.
36,Allahın hikmətinə qarışmaq olmaz.
37,"Ata, arpa verin, at üçün yem hazırlayın."
38,"Otaqlara xalça sərilsin, qonaq gələcək."
39,Bir az sakit ol!
40,"Görünür, uşaq indi qabağımda ölür."
41,"Hey, Zeynəb, vallah, dərsini öyrənmisən!"
42,"Get dolaş, hələ iş bitməyib!"
43,"Allahın hər bəlası bu vilayətə düşsə, şeyx cənabları yolda bir az xəstə oldu."
44,"Dadaş, qonaqdan xahiş et ki, əvvəlcə məni dirildsin."
45,Ürək dünyaya bağlı olduqda Allahı xatırlamaq olmur.
46,"Mərkubatın əşrəfi atdır ki, o həmişə səhvlidir."
47,"Ümid edirəm, mizacınız yaxşıdır?"
48,Allah-taala siz tək alimlərin köməyini bizdən əsirgəməsin.
49,"Ağayi-mən, bu şəhərdə sizdən başqa dərs oxuyan yoxdur, ya da yalnız siz ikinizsiniz?"
50,"Hacı Həsən ağanın oğlu da Fransada oxuyub, amma sonunda peşman oldu."
