id,old,new,sentiment,bert_pred_id,bert_pred
1,Yaxşı oldu tәşrif gәtirdiniz.,Gəlməyiniz yaxşı oldu.,positive,5,positive
2,"Tәvәqqe elәyirәm mirzә Cәlala nәsihәt elәyәsiniz ki, dәrslәrinә can yandırsın.","Ümid edirəm, Mirzə Cəlala dərslərinə diqqət yetirməsi üçün məsləhət verərsiniz.",neutral,4,positive
3,"Bağışlayın, İskәndәr bәy, hәrçәnd bәndәnin tәrәfindәn küstaxlıqdır sizә nәsihәt elәmәk, amma uşaq tayfasına o cür sözlәri demәyiniz bir az bicadır.","Bağışlayın, İskəndər bəy, uşaqlara belə sözlər deməyin düzgün deyil.",negative,1,negative
4,"Mәn dәrs oxumamış elә xәyal elәrdim ki, dünyada bir zad bilirәm; amma elm oxuyandan sonra yәqin elәdim ki, heç zad bilmirәm.","Dərs oxumamışdan əvvəl düşünürdüm ki, dünyada bir şey bilirəm, amma oxuduqca başa düşdüm ki, heç nə bilmirəm.",negative,2,negative
5,Mәn dә sәnin yanından getmәnәm.,Mən də sənin yanından ayrılmayacağam.,positive,1,negative
6,"Gәl yapışım әlindәn, baş alıb bu vilayәtdәn çıxıb, qoyub gedәk.","Gəl, əlindən tutum, bu vilayəti tərk edib gedək.",neutral,1,negative
7,Dәm qәnimәtәst.,Vaxt yaxşıdır.,neutral,4,positive
8,Dәxi niyә durubsan?,Niyə hələ də durursan?,positive,2,negative
9,"Qaşında, dәhanında, dodağında eyib yox.","Qaşın, çənən və dodağın sağlamdır.",positive,5,positive
10,"Bir zәrrәcә zülfündә, buxağında eyib yox.",Saçında və yanağında heç bir qüsur yoxdur.,positive,1,negative
11,"Yәni lap dirilib, qәbirdәn çıxıb eşiyә?","Elə bil, dirilib, qəbirdən çıxıb qapıya gəlib?",positive,1,negative
12,"Hәlә bir para namәrdlәr müsәlmanlara mәzәmmәt elәyirlәr ki, uşaqlarını dәrsә qoymurlar.","Bir qrup kişi müsəlmanları tənqid edir ki, uşaqları dərs oxumur.",neutral,3,neutral
13,"Yәni mәn başı küllü bilirdim ki, axırı belә olacaq.","Başladıqda bilirdim ki, sonunda belə olacaq.",negative,3,neutral
14,"Allaha şükür, mәqdurun var.","Şükür Allaha, yardımçı var.",neutral,5,positive
15,"İncinar olsun, hәkim olsun, silitçi olsun.","İncinar olsun, həkim olsun, təmizləyici olsun.",positive,1,negative
